date_time,minute,open,high,low,close,volume
2002.09.01,22:00,566.00,568.50,556.00,565.00,2401
2002.09.08,22:00,569.00,594.00,563.00,563.50,5651
2002.09.15,22:00,563.00,577.00,557.00,564.50,3851
2002.09.22,22:00,561.50,568.00,552.50,560.25,2976
2002.09.29,22:00,558.00,558.00,532.25,539.50,3301
2002.10.06,22:00,538.50,543.75,522.00,528.50,3351
2002.10.13,22:00,528.00,554.00,526.00,546.00,3801
2002.10.20,22:00,550.50,559.50,546.25,557.00,2001
2002.10.27,22:00,552.50,569.00,545.00,568.50,3201
2002.11.03,22:00,568.00,585.00,562.50,563.25,4026
2002.11.10,22:00,566.00,579.00,561.00,563.25,3326
2002.11.17,22:00,564.00,577.50,560.25,571.75,2676
2002.11.24,22:00,568.00,581.50,567.50,578.75,1726
2002.12.01,22:00,583.50,587.50,556.50,563.25,4176
2002.12.08,22:00,561.00,577.00,557.50,572.00,2801
2002.12.15,22:00,572.00,573.00,552.25,572.00,4151
2002.12.22,22:00,573.00,577.75,564.75,569.75,2276
2002.12.29,22:00,568.00,586.00,563.50,582.25,3076
2003.01.05,22:00,582.50,591.50,564.50,564.75,3626
2003.01.12,22:00,564.75,564.75,544.75,556.00,3126
2003.01.19,22:00,554.50,570.00,552.50,569.00,2051
2003.01.26,22:00,572.00,575.50,559.50,564.00,2401
2003.02.02,22:00,558.50,571.00,554.25,555.75,3076
2003.02.09,22:00,557.50,574.00,557.50,573.00,1751
2003.02.16,22:00,570.50,575.00,565.25,574.00,1601
2003.02.23,22:00,573.00,584.50,569.00,577.00,2701
2003.03.02,22:00,581.00,581.00,559.75,564.50,2601
2003.03.09,22:00,565.50,578.25,561.25,577.75,2176
2003.03.16,22:00,572.50,579.50,566.00,576.75,2276
2003.03.23,22:00,574.00,581.50,564.25,580.00,2851
2003.03.30,22:00,577.00,591.75,570.00,590.75,2976
2003.04.06,22:00,595.00,608.00,595.00,600.25,2076
2003.04.13,22:00,600.50,623.00,595.50,622.00,3351
2003.04.20,22:00,618.00,621.00,595.25,599.00,3251
2003.04.27,22:00,601.00,631.50,600.00,626.25,3776
2003.05.04,22:00,629.00,638.00,613.50,636.25,4176
2003.05.11,22:00,633.00,652.50,633.00,642.00,3001
2003.05.18,22:00,636.25,658.00,622.50,628.25,6301
2003.05.25,22:00,623.00,636.50,618.50,624.50,3451
2003.06.01,22:00,621.50,632.50,610.00,631.50,3501
2003.06.08,22:00,629.00,639.00,613.00,614.50,3751
2003.06.15,22:00,614.50,636.00,611.50,629.25,3426
2003.06.22,22:00,628.00,645.00,624.00,631.50,3851
2003.06.29,22:00,620.00,633.50,615.00,626.75,3026
2003.07.06,22:00,626.00,626.00,609.00,620.75,2876
2003.07.13,22:00,620.00,624.00,559.00,560.50,7051
2003.07.20,22:00,558.00,567.00,544.00,549.50,3751
2003.07.27,22:00,554.00,557.00,532.00,537.50,3351
2003.08.03,22:00,538.00,549.00,535.00,548.50,1751
2003.08.10,22:00,549.00,583.00,548.00,552.25,6676
2003.08.17,22:00,570.00,591.00,567.25,586.25,3126
2003.08.24,22:00,585.50,596.25,576.50,595.00,3001
2003.08.31,22:00,585.00,617.50,575.50,608.00,6101
2003.09.07,22:00,590.00,630.50,585.25,622.50,5801
2003.09.14,22:00,622.00,635.25,608.50,633.75,4176
2003.09.21,22:00,646.25,661.00,645.75,654.50,2226
2003.09.28,22:00,666.00,701.50,665.25,677.50,6101
2003.10.05,22:00,670.50,736.50,668.75,712.00,9401
2003.10.12,22:00,726.00,744.00,719.50,729.00,4601
2003.10.19,22:00,740.50,769.50,722.00,762.00,7351
2003.10.26,22:00,775.00,802.00,755.00,794.50,7451
2003.11.02,22:00,799.00,800.00,745.50,746.00,5601
2003.11.09,22:00,745.50,792.50,737.50,779.00,7651
2003.11.16,22:00,785.00,785.50,739.00,753.00,6101
2003.11.23,22:00,749.00,758.50,730.25,757.00,4851
2003.11.30,22:00,759.00,784.50,751.00,759.00,6701
2003.12.07,22:00,762.00,789.50,761.50,776.50,4151
2003.12.14,22:00,776.00,780.00,753.50,764.50,4151
2003.12.21,22:00,763.00,801.50,732.50,800.00,10101
2003.12.28,22:00,798.00,806.50,776.50,797.00,5901
2004.01.04,22:00,804.50,806.50,785.00,793.00,3151
2004.01.11,22:00,826.00,849.50,816.50,836.50,5551
2004.01.18,22:00,837.00,855.00,821.50,839.50,6451
2004.01.25,22:00,845.00,853.00,800.50,821.00,8101
2004.02.01,22:00,806.00,844.50,790.00,841.00,7401
2004.02.08,22:00,826.00,860.50,811.50,829.00,9501
2004.02.15,22:00,841.50,892.50,841.00,884.00,6051
2004.02.22,22:00,898.00,941.50,895.50,939.00,5101
2004.02.29,22:00,945.00,976.50,924.50,938.00,9701
2004.03.07,22:00,924.00,960.00,907.50,956.00,7301
2004.03.14,22:00,978.00,1034.50,967.50,1026.00,8601
